path, num_common_sw_sp, num_common_sw_ft, num_common_sw_diff
sv1->sv5/sv2->sv7 4 4 0
sv1->sv6/sv2->sv8 4 4 0
sv1->sv7/sv2->sv5 4 4 0
sv1->sv8/sv2->sv6 4 4 0
sv2->sv5/sv1->sv7 4 4 0
sv2->sv6/sv1->sv8 4 4 0
sv2->sv7/sv1->sv5 4 4 0
sv2->sv8/sv1->sv6 4 4 0
sv3->sv5/sv4->sv7 4 4 0
sv3->sv6/sv4->sv8 4 4 0
sv3->sv7/sv4->sv5 4 4 0
sv3->sv8/sv4->sv6 4 4 0
sv4->sv5/sv3->sv7 4 4 0
sv4->sv6/sv3->sv8 4 4 0
sv4->sv7/sv3->sv5 4 4 0
sv4->sv8/sv3->sv6 4 4 0
sv1->sv5/sv2->sv8 4 3 1
sv1->sv6/sv2->sv7 4 3 1
sv1->sv7/sv2->sv6 4 3 1
sv1->sv8/sv2->sv5 4 3 1
sv2->sv5/sv1->sv8 4 3 1
sv2->sv6/sv1->sv7 4 3 1
sv2->sv7/sv1->sv6 4 3 1
sv2->sv8/sv1->sv5 4 3 1
sv3->sv5/sv4->sv8 4 3 1
sv3->sv6/sv4->sv7 4 3 1
sv3->sv7/sv4->sv6 4 3 1
sv3->sv8/sv4->sv5 4 3 1
sv4->sv5/sv3->sv8 4 3 1
sv4->sv6/sv3->sv7 4 3 1
sv4->sv7/sv3->sv6 4 3 1
sv4->sv8/sv3->sv5 4 3 1
sv1->sv5/sv2->sv6 5 4 1
sv1->sv6/sv2->sv5 5 4 1
sv1->sv7/sv2->sv8 5 4 1
sv1->sv8/sv2->sv7 5 4 1
sv2->sv5/sv1->sv6 5 4 1
sv2->sv6/sv1->sv5 5 4 1
sv2->sv7/sv1->sv8 5 4 1
sv2->sv8/sv1->sv7 5 4 1
sv3->sv5/sv4->sv6 5 4 1
sv3->sv6/sv4->sv5 5 4 1
sv3->sv7/sv4->sv8 5 4 1
sv3->sv8/sv4->sv7 5 4 1
sv4->sv5/sv3->sv6 5 4 1
sv4->sv6/sv3->sv5 5 4 1
sv4->sv7/sv3->sv8 5 4 1
sv4->sv8/sv3->sv7 5 4 1
sv1->sv5/sv3->sv7 3 0 3
sv1->sv5/sv3->sv8 3 0 3
sv1->sv5/sv4->sv7 3 0 3
sv1->sv5/sv4->sv8 3 0 3
sv1->sv6/sv3->sv7 3 0 3
sv1->sv6/sv3->sv8 3 0 3
sv1->sv6/sv4->sv7 3 0 3
sv1->sv6/sv4->sv8 3 0 3
sv1->sv7/sv3->sv5 3 0 3
sv1->sv7/sv3->sv6 3 0 3
sv1->sv7/sv4->sv5 3 0 3
sv1->sv7/sv4->sv6 3 0 3
sv1->sv8/sv3->sv5 3 0 3
sv1->sv8/sv3->sv6 3 0 3
sv1->sv8/sv4->sv5 3 0 3
sv1->sv8/sv4->sv6 3 0 3
sv2->sv5/sv3->sv7 3 0 3
sv2->sv5/sv3->sv8 3 0 3
sv2->sv5/sv4->sv7 3 0 3
sv2->sv5/sv4->sv8 3 0 3
sv2->sv6/sv3->sv7 3 0 3
sv2->sv6/sv3->sv8 3 0 3
sv2->sv6/sv4->sv7 3 0 3
sv2->sv6/sv4->sv8 3 0 3
sv2->sv7/sv3->sv5 3 0 3
sv2->sv7/sv3->sv6 3 0 3
sv2->sv7/sv4->sv5 3 0 3
sv2->sv7/sv4->sv6 3 0 3
sv2->sv8/sv3->sv5 3 0 3
sv2->sv8/sv3->sv6 3 0 3
sv2->sv8/sv4->sv5 3 0 3
sv2->sv8/sv4->sv6 3 0 3
sv3->sv5/sv1->sv7 3 0 3
sv3->sv5/sv1->sv8 3 0 3
sv3->sv5/sv2->sv7 3 0 3
sv3->sv5/sv2->sv8 3 0 3
sv3->sv6/sv1->sv7 3 0 3
sv3->sv6/sv1->sv8 3 0 3
sv3->sv6/sv2->sv7 3 0 3
sv3->sv6/sv2->sv8 3 0 3
sv3->sv7/sv1->sv5 3 0 3
sv3->sv7/sv1->sv6 3 0 3
sv3->sv7/sv2->sv5 3 0 3
sv3->sv7/sv2->sv6 3 0 3
sv3->sv8/sv1->sv5 3 0 3
sv3->sv8/sv1->sv6 3 0 3
sv3->sv8/sv2->sv5 3 0 3
sv3->sv8/sv2->sv6 3 0 3
sv4->sv5/sv1->sv7 3 0 3
sv4->sv5/sv1->sv8 3 0 3
sv4->sv5/sv2->sv7 3 0 3
sv4->sv5/sv2->sv8 3 0 3
sv4->sv6/sv1->sv7 3 0 3
sv4->sv6/sv1->sv8 3 0 3
sv4->sv6/sv2->sv7 3 0 3
sv4->sv6/sv2->sv8 3 0 3
sv4->sv7/sv1->sv5 3 0 3
sv4->sv7/sv1->sv6 3 0 3
sv4->sv7/sv2->sv5 3 0 3
sv4->sv7/sv2->sv6 3 0 3
sv4->sv8/sv1->sv5 3 0 3
sv4->sv8/sv1->sv6 3 0 3
sv4->sv8/sv2->sv5 3 0 3
sv4->sv8/sv2->sv6 3 0 3
sv1->sv5/sv3->sv6 4 1 3
sv1->sv5/sv4->sv6 4 1 3
sv1->sv6/sv3->sv5 4 1 3
sv1->sv6/sv4->sv5 4 1 3
sv1->sv7/sv3->sv8 4 1 3
sv1->sv7/sv4->sv8 4 1 3
sv1->sv8/sv3->sv7 4 1 3
sv1->sv8/sv4->sv7 4 1 3
sv2->sv5/sv3->sv6 4 1 3
sv2->sv5/sv4->sv6 4 1 3
sv2->sv6/sv3->sv5 4 1 3
sv2->sv6/sv4->sv5 4 1 3
sv2->sv7/sv3->sv8 4 1 3
sv2->sv7/sv4->sv8 4 1 3
sv2->sv8/sv3->sv7 4 1 3
sv2->sv8/sv4->sv7 4 1 3
sv3->sv5/sv1->sv6 4 1 3
sv3->sv5/sv2->sv6 4 1 3
sv3->sv6/sv1->sv5 4 1 3
sv3->sv6/sv2->sv5 4 1 3
sv3->sv7/sv1->sv8 4 1 3
sv3->sv7/sv2->sv8 4 1 3
sv3->sv8/sv1->sv7 4 1 3
sv3->sv8/sv2->sv7 4 1 3
sv4->sv5/sv1->sv6 4 1 3
sv4->sv5/sv2->sv6 4 1 3
sv4->sv6/sv1->sv5 4 1 3
sv4->sv6/sv2->sv5 4 1 3
sv4->sv7/sv1->sv8 4 1 3
sv4->sv7/sv2->sv8 4 1 3
sv4->sv8/sv1->sv7 4 1 3
sv4->sv8/sv2->sv7 4 1 3
