path, sp, ft, diff
sv1->sv5/sv2->sv7 3 3 0
sv1->sv6/sv2->sv8 3 3 0
sv1->sv7/sv2->sv5 3 3 0
sv1->sv8/sv2->sv6 3 3 0
sv2->sv5/sv1->sv7 3 3 0
sv2->sv6/sv1->sv8 3 3 0
sv2->sv7/sv1->sv5 3 3 0
sv2->sv8/sv1->sv6 3 3 0
sv3->sv5/sv4->sv7 3 3 0
sv3->sv6/sv4->sv8 3 3 0
sv3->sv7/sv4->sv5 3 3 0
sv3->sv8/sv4->sv6 3 3 0
sv4->sv5/sv3->sv7 3 3 0
sv4->sv6/sv3->sv8 3 3 0
sv4->sv7/sv3->sv5 3 3 0
sv4->sv8/sv3->sv6 3 3 0
sv1->sv5/sv3->sv7 2 0 2
sv1->sv5/sv3->sv8 2 0 2
sv1->sv5/sv4->sv7 2 0 2
sv1->sv5/sv4->sv8 2 0 2
sv1->sv6/sv3->sv7 2 0 2
sv1->sv6/sv3->sv8 2 0 2
sv1->sv6/sv4->sv7 2 0 2
sv1->sv6/sv4->sv8 2 0 2
sv1->sv7/sv3->sv5 2 0 2
sv1->sv7/sv3->sv6 2 0 2
sv1->sv7/sv4->sv5 2 0 2
sv1->sv7/sv4->sv6 2 0 2
sv1->sv8/sv3->sv5 2 0 2
sv1->sv8/sv3->sv6 2 0 2
sv1->sv8/sv4->sv5 2 0 2
sv1->sv8/sv4->sv6 2 0 2
sv2->sv5/sv3->sv7 2 0 2
sv2->sv5/sv3->sv8 2 0 2
sv2->sv5/sv4->sv7 2 0 2
sv2->sv5/sv4->sv8 2 0 2
sv2->sv6/sv3->sv7 2 0 2
sv2->sv6/sv3->sv8 2 0 2
sv2->sv6/sv4->sv7 2 0 2
sv2->sv6/sv4->sv8 2 0 2
sv2->sv7/sv3->sv5 2 0 2
sv2->sv7/sv3->sv6 2 0 2
sv2->sv7/sv4->sv5 2 0 2
sv2->sv7/sv4->sv6 2 0 2
sv2->sv8/sv3->sv5 2 0 2
sv2->sv8/sv3->sv6 2 0 2
sv2->sv8/sv4->sv5 2 0 2
sv2->sv8/sv4->sv6 2 0 2
sv3->sv5/sv1->sv7 2 0 2
sv3->sv5/sv1->sv8 2 0 2
sv3->sv5/sv2->sv7 2 0 2
sv3->sv5/sv2->sv8 2 0 2
sv3->sv6/sv1->sv7 2 0 2
sv3->sv6/sv1->sv8 2 0 2
sv3->sv6/sv2->sv7 2 0 2
sv3->sv6/sv2->sv8 2 0 2
sv3->sv7/sv1->sv5 2 0 2
sv3->sv7/sv1->sv6 2 0 2
sv3->sv7/sv2->sv5 2 0 2
sv3->sv7/sv2->sv6 2 0 2
sv3->sv8/sv1->sv5 2 0 2
sv3->sv8/sv1->sv6 2 0 2
sv3->sv8/sv2->sv5 2 0 2
sv3->sv8/sv2->sv6 2 0 2
sv4->sv5/sv1->sv7 2 0 2
sv4->sv5/sv1->sv8 2 0 2
sv4->sv5/sv2->sv7 2 0 2
sv4->sv5/sv2->sv8 2 0 2
sv4->sv6/sv1->sv7 2 0 2
sv4->sv6/sv1->sv8 2 0 2
sv4->sv6/sv2->sv7 2 0 2
sv4->sv6/sv2->sv8 2 0 2
sv4->sv7/sv1->sv5 2 0 2
sv4->sv7/sv1->sv6 2 0 2
sv4->sv7/sv2->sv5 2 0 2
sv4->sv7/sv2->sv6 2 0 2
sv4->sv8/sv1->sv5 2 0 2
sv4->sv8/sv1->sv6 2 0 2
sv4->sv8/sv2->sv5 2 0 2
sv4->sv8/sv2->sv6 2 0 2
sv1->sv5/sv2->sv8 3 1 2
sv1->sv6/sv2->sv7 3 1 2
sv1->sv7/sv2->sv6 3 1 2
sv1->sv8/sv2->sv5 3 1 2
sv2->sv5/sv1->sv8 3 1 2
sv2->sv6/sv1->sv7 3 1 2
sv2->sv7/sv1->sv6 3 1 2
sv2->sv8/sv1->sv5 3 1 2
sv3->sv5/sv4->sv8 3 1 2
sv3->sv6/sv4->sv7 3 1 2
sv3->sv7/sv4->sv6 3 1 2
sv3->sv8/sv4->sv5 3 1 2
sv4->sv5/sv3->sv8 3 1 2
sv4->sv6/sv3->sv7 3 1 2
sv4->sv7/sv3->sv6 3 1 2
sv4->sv8/sv3->sv5 3 1 2
sv1->sv5/sv2->sv6 4 2 2
sv1->sv6/sv2->sv5 4 2 2
sv1->sv7/sv2->sv8 4 2 2
sv1->sv8/sv2->sv7 4 2 2
sv2->sv5/sv1->sv6 4 2 2
sv2->sv6/sv1->sv5 4 2 2
sv2->sv7/sv1->sv8 4 2 2
sv2->sv8/sv1->sv7 4 2 2
sv3->sv5/sv4->sv6 4 2 2
sv3->sv6/sv4->sv5 4 2 2
sv3->sv7/sv4->sv8 4 2 2
sv3->sv8/sv4->sv7 4 2 2
sv4->sv5/sv3->sv6 4 2 2
sv4->sv6/sv3->sv5 4 2 2
sv4->sv7/sv3->sv8 4 2 2
sv4->sv8/sv3->sv7 4 2 2
sv1->sv5/sv3->sv6 3 0 3
sv1->sv5/sv4->sv6 3 0 3
sv1->sv6/sv3->sv5 3 0 3
sv1->sv6/sv4->sv5 3 0 3
sv1->sv7/sv3->sv8 3 0 3
sv1->sv7/sv4->sv8 3 0 3
sv1->sv8/sv3->sv7 3 0 3
sv1->sv8/sv4->sv7 3 0 3
sv2->sv5/sv3->sv6 3 0 3
sv2->sv5/sv4->sv6 3 0 3
sv2->sv6/sv3->sv5 3 0 3
sv2->sv6/sv4->sv5 3 0 3
sv2->sv7/sv3->sv8 3 0 3
sv2->sv7/sv4->sv8 3 0 3
sv2->sv8/sv3->sv7 3 0 3
sv2->sv8/sv4->sv7 3 0 3
sv3->sv5/sv1->sv6 3 0 3
sv3->sv5/sv2->sv6 3 0 3
sv3->sv6/sv1->sv5 3 0 3
sv3->sv6/sv2->sv5 3 0 3
sv3->sv7/sv1->sv8 3 0 3
sv3->sv7/sv2->sv8 3 0 3
sv3->sv8/sv1->sv7 3 0 3
sv3->sv8/sv2->sv7 3 0 3
sv4->sv5/sv1->sv6 3 0 3
sv4->sv5/sv2->sv6 3 0 3
sv4->sv6/sv1->sv5 3 0 3
sv4->sv6/sv2->sv5 3 0 3
sv4->sv7/sv1->sv8 3 0 3
sv4->sv7/sv2->sv8 3 0 3
sv4->sv8/sv1->sv7 3 0 3
sv4->sv8/sv2->sv7 3 0 3
