dpid:sw6, dst_id:sv2, next_dpid:sw13
dpid:sw5, dst_id:sv2, next_dpid:sw13
dpid:sw6, dst_id:sv1, next_dpid:sw13
dpid:sw5, dst_id:sv1, next_dpid:sw13
dpid:sw13, dst_id:sv3, next_dpid:sw5
dpid:sw5, dst_id:sv3, next_dpid:sw14
dpid:sw6, dst_id:sv3, next_dpid:sw14
dpid:sw14, dst_id:sv1, next_dpid:sw6
dpid:sw6, dst_id:sv1, next_dpid:sw13
dpid:sw13, dst_id:sv4, next_dpid:sw5
dpid:sw5, dst_id:sv4, next_dpid:sw14
dpid:sw6, dst_id:sv4, next_dpid:sw14
dpid:sw14, dst_id:sv1, next_dpid:sw6
dpid:sw13, dst_id:sv5, next_dpid:sw5
dpid:sw5, dst_id:sv5, next_dpid:sw1
dpid:sw1, dst_id:sv5, next_dpid:sw7
dpid:sw7, dst_id:sv5, next_dpid:sw15
dpid:sw8, dst_id:sv5, next_dpid:sw15
dpid:sw15, dst_id:sv1, next_dpid:sw7
dpid:sw7, dst_id:sv1, next_dpid:sw1
dpid:sw1, dst_id:sv1, next_dpid:sw5
dpid:sw5, dst_id:sv1, next_dpid:sw13
dpid:sw13, dst_id:sv6, next_dpid:sw5
dpid:sw5, dst_id:sv6, next_dpid:sw2
dpid:sw2, dst_id:sv6, next_dpid:sw7
dpid:sw7, dst_id:sv6, next_dpid:sw15
dpid:sw8, dst_id:sv6, next_dpid:sw15
dpid:sw15, dst_id:sv1, next_dpid:sw7
dpid:sw13, dst_id:sv7, next_dpid:sw5
dpid:sw5, dst_id:sv7, next_dpid:sw1
dpid:sw1, dst_id:sv7, next_dpid:sw7
dpid:sw7, dst_id:sv7, next_dpid:sw16
dpid:sw8, dst_id:sv7, next_dpid:sw16
dpid:sw16, dst_id:sv1, next_dpid:sw8
dpid:sw8, dst_id:sv1, next_dpid:sw4
dpid:sw4, dst_id:sv1, next_dpid:sw6
dpid:sw6, dst_id:sv1, next_dpid:sw13
dpid:sw13, dst_id:sv8, next_dpid:sw5
dpid:sw5, dst_id:sv8, next_dpid:sw2
dpid:sw2, dst_id:sv8, next_dpid:sw7
dpid:sw7, dst_id:sv8, next_dpid:sw16
dpid:sw8, dst_id:sv8, next_dpid:sw16
dpid:sw16, dst_id:sv1, next_dpid:sw8
dpid:sw13, dst_id:sv9, next_dpid:sw5
dpid:sw5, dst_id:sv9, next_dpid:sw1
dpid:sw1, dst_id:sv9, next_dpid:sw9
dpid:sw9, dst_id:sv9, next_dpid:sw17
dpid:sw10, dst_id:sv9, next_dpid:sw17
dpid:sw17, dst_id:sv1, next_dpid:sw9
dpid:sw9, dst_id:sv1, next_dpid:sw1
dpid:sw1, dst_id:sv1, next_dpid:sw5
dpid:sw13, dst_id:sv10, next_dpid:sw5
